pair,sector,direction,entry_z,exit_z,bars_held,exit_reason,pnl,exit_time
MLM/VMC,Materials,LONG,-2.313927174191619,-3.4440256569634573,3,HARD_STOP,-9.504999999999256,2026-02-06 14:45:00-05:00
SWK/TTC,Industrials,LONG,-2.105318190148197,-0.27136802828519574,5,PROFIT_EXIT,37.19999999999935,2026-02-06 15:50:00-05:00
EME/PCAR,Industrials,SHORT,2.0324907712711755,3.7766608737941185,2,HARD_STOP,-53.204999999999956,2026-02-09 09:30:00-05:00
DTM/TRGP,Energy,LONG,-2.004706247807515,-3.341807170070241,14,HARD_STOP,-50.254999999999484,2026-02-09 09:30:00-05:00
BC/FND,Consumer Discretionary,LONG,-2.530334784101067,-3.444707424478485,9,HARD_STOP,-42.6099999999999,2026-02-09 09:30:00-05:00
AM/EQT,Energy,LONG,-2.0354424760794427,0.42238451294046636,8,PROFIT_EXIT,53.060000000000045,2026-02-09 09:45:00-05:00
AVT/ENTG,Information Technology,LONG,-2.8985720771954586,-3.4402425744937255,3,HARD_STOP,-56.4393000000008,2026-02-09 09:50:00-05:00
CMS/PPL,Utilities,SHORT,2.0924044576550562,-0.066180757874888,5,PROFIT_EXIT,-4.070000000000434,2026-02-09 09:50:00-05:00
HLT/MTN,Consumer Discretionary,SHORT,2.0771778519521513,0.4764043761489483,19,PROFIT_EXIT,12.014999999999475,2026-02-09 09:55:00-05:00
SWK/TTC,Industrials,LONG,-2.419037408803556,-0.44706713271749177,13,PROFIT_EXIT,32.64999999999901,2026-02-09 10:25:00-05:00
AWK/CNP,Utilities,LONG,-3.2478720475011658,-3.2758579606778255,8,HARD_STOP,-17.750000000000377,2026-02-09 10:25:00-05:00
AVT/LSCC,Information Technology,LONG,-2.123737838428842,-0.4141760397420268,9,PROFIT_EXIT,-23.83499999999927,2026-02-09 10:35:00-05:00
CMS/PPL,Utilities,SHORT,2.060091646785981,0.30617744592247476,5,PROFIT_EXIT,13.49999999999853,2026-02-09 10:35:00-05:00
KEY/USB,Financials,SHORT,2.1986531718086932,-0.1842506043019739,6,PROFIT_EXIT,18.75719999999935,2026-02-09 11:15:00-05:00
AVT/SYNA,Information Technology,SHORT,2.2427938727176584,0.11790651693620671,4,PROFIT_EXIT,70.77000000000044,2026-02-09 11:20:00-05:00
FLG/VLY,Financials,SHORT,2.118696245337802,0.14034103756288585,11,PROFIT_EXIT,37.079999999999785,2026-02-09 11:35:00-05:00
